observable,m,tau,horizon,MSE_3D,NRMSE_3D
x time-delay,3,50,100,5.1051672938903385,0.2983737901078571
z time-delay,3,50,100,68.24346874498175,1.090903232333007
x time-delay,3,50,200,6.332622786026236,0.3323131227119011
z time-delay,3,50,200,65.32097130821202,1.06728891502596
x time-delay,3,50,300,7.268031256563426,0.3560115394185847
z time-delay,3,50,300,62.54463553657099,1.0443611670738921
x time-delay,3,50,400,7.95348104120941,0.3724211243548618
z time-delay,3,50,400,67.25117680029612,1.0829430687096413
x time-delay,3,50,500,12.7771713423604,0.47203373889653266
z time-delay,3,50,500,65.81206618887478,1.0712934380202712
x time-delay,3,50,600,21.174219359736885,0.607658232147647
z time-delay,3,50,600,59.5699154101308,1.0192229015519085
x time-delay,3,50,700,31.94678182617211,0.7463958907504846
z time-delay,3,50,700,61.335519555049856,1.0342170804974384
x time-delay,3,50,800,36.40286268657104,0.796752528865042
z time-delay,3,50,800,56.799399457110894,0.9952393840843303
x time-delay,3,100,100,6.802853312467915,0.3451612256259672
z time-delay,3,100,100,56.734731281283715,0.9967837522359471
x time-delay,3,100,200,8.973238825981845,0.3964158973904211
z time-delay,3,100,200,59.23891326000313,1.0185444591588515
x time-delay,3,100,300,9.811179658834174,0.4145119576576025
z time-delay,3,100,300,60.67687099995472,1.030832346036581
x time-delay,3,100,400,12.860752005087726,0.4745802175397514
z time-delay,3,100,400,58.44453545826486,1.0116922070830159
x time-delay,3,100,500,21.58445146173422,0.6148185428082411
z time-delay,3,100,500,52.37647226899496,0.9577332629566124
x time-delay,3,100,600,23.55365254483157,0.642252171452834
z time-delay,3,100,600,59.2710595169433,1.01882078049344
x time-delay,3,100,700,24.416390980226044,0.6539088039149648
z time-delay,3,100,700,61.06183882596571,1.0340972625562401
x time-delay,3,100,800,28.88013912377324,0.711174358510242
z time-delay,3,100,800,63.563863611851644,1.055070773330036
x time-delay,5,50,100,3.187092438476609,0.23625106728869888
z time-delay,5,50,100,45.85969632485896,0.8961733738552033
x time-delay,5,50,200,4.0738817524240325,0.2671041641646794
z time-delay,5,50,200,72.83150498574471,1.1293695947076963
x time-delay,5,50,300,4.1786809415908746,0.2705179298826229
z time-delay,5,50,300,94.70265314824601,1.2878269887364893
x time-delay,5,50,400,4.45881173612595,0.2794383556071968
z time-delay,5,50,400,89.71976940741243,1.2534889895682018
x time-delay,5,50,500,4.431984701218098,0.27859644828513414
z time-delay,5,50,500,80.70345397566109,1.1888375397653308
x time-delay,5,50,600,4.816050320864381,0.29041694807009133
z time-delay,5,50,600,77.18033486987166,1.1625985540096202
x time-delay,5,50,700,7.83417433623268,0.37040178002669005
z time-delay,5,50,700,80.71253844792464,1.1889044492791967
x time-delay,5,50,800,11.034763191637253,0.43960027755745235
z time-delay,5,50,800,85.60637582649721,1.224417434533632
x time-delay,5,100,100,3.7273072062016372,0.25743443225395074
z time-delay,5,100,100,40.16933321176174,0.8451160523949586
x time-delay,5,100,200,4.49388969561217,0.2826703415559852
z time-delay,5,100,200,45.98669599879199,0.9042429751714137
x time-delay,5,100,300,4.9876033449116415,0.2977933486056228
z time-delay,5,100,300,50.33368020690359,0.9460157834566806
x time-delay,5,100,400,5.595688462208993,0.31542477590903395
z time-delay,5,100,400,52.591298177592286,0.966998911289124
x time-delay,5,100,500,5.877059353595055,0.32325784837604876
z time-delay,5,100,500,55.06949379799734,0.9895200119382436
x time-delay,5,100,600,6.075823401638761,0.3286787379180667
z time-delay,5,100,600,63.37392483055159,1.0615106157361813
x time-delay,5,100,700,10.572257515543674,0.4335636921729468
z time-delay,5,100,700,68.09754743016718,1.1003599501134569
x time-delay,5,100,800,14.34826884981182,0.5050900257223936
z time-delay,5,100,800,68.00746058499784,1.0996318713043558
x time-delay,7,50,100,2.427607468389298,0.20672446360865135
z time-delay,7,50,100,17.680381234183216,0.5578898420332156
x time-delay,7,50,200,2.8650699837279814,0.22457957656330918
z time-delay,7,50,200,19.88027886206492,0.5915805370024474
x time-delay,7,50,300,2.959383187229478,0.228246035257104
z time-delay,7,50,300,22.067556569802534,0.6232750834992113
x time-delay,7,50,400,2.9235712996272785,0.2268608140758868
z time-delay,7,50,400,24.68369626500184,0.6591856403493483
x time-delay,7,50,500,3.173921570643998,0.23637456179254443
z time-delay,7,50,500,26.939919956977338,0.6886535518792644
x time-delay,7,50,600,3.7519176779620547,0.2569977325808692
z time-delay,7,50,600,29.973725391807484,0.7263952629526333
x time-delay,7,50,700,6.1145702045953065,0.3280844214716453
z time-delay,7,50,700,33.24070724734016,0.7649583137879212
x time-delay,7,50,800,8.33358707755346,0.3830175113609218
z time-delay,7,50,800,34.65810174148174,0.7810971036598185
x time-delay,7,100,100,2.3232977416040805,0.20496473586717917
z time-delay,7,100,100,40.94747390110256,0.860478987416154
x time-delay,7,100,200,2.877297349391752,0.22809674346834835
z time-delay,7,100,200,48.818162361625745,0.9395446541242303
x time-delay,7,100,300,2.8384923476659956,0.22655339568354707
z time-delay,7,100,300,49.92230394926276,0.9501102910771994
x time-delay,7,100,400,3.046335899057191,0.23470136006328518
z time-delay,7,100,400,59.713898852025956,1.039116943081431
x time-delay,7,100,500,3.507942428012719,0.25185637062537813
z time-delay,7,100,500,69.71051648453087,1.1227313828304593
x time-delay,7,100,600,4.106298890777093,0.27249089225261686
z time-delay,7,100,600,88.13472913676797,1.2624094857312533
x time-delay,7,100,700,6.160341533379248,0.3337560195588464
z time-delay,7,100,700,93.47455105717943,1.30008996491215
x time-delay,7,100,800,7.476977046593784,0.3676967030617203
z time-delay,7,100,800,93.41735547421995,1.299692151919653
